method,candidate_id,abundance,is_eneg_artefact,is_biological_rare,loss_probability,ot_p_value,mknn_purity_post
harmony,4,0.0165,False,True,0.40083080525718434,0.009900990099009901,0.5572998523712158
harmony,0,0.0925,False,False,0.38543782558756257,0.009900990099009901,0.6422151327133179
harmony,9,0.08183333333333333,False,False,0.3759565493946154,0.009900990099009901,0.6833096146583557
harmony,2,0.082,False,False,0.3744377017572439,0.009900990099009901,0.6639449000358582
harmony,14,0.0155,False,True,0.36075385158200335,0.009900990099009901,0.5697576403617859
harmony,12,0.0845,False,False,0.339244516684414,0.009900990099009901,0.653938353061676
harmony,7,0.016,False,True,0.31470824460828095,0.009900990099009901,0.5738721489906311
harmony,3,0.0023333333333333335,True,False,0.2792386736397796,1.0,1.0
harmony,5,0.0036666666666666666,True,False,0.26921055133535926,1.0,0.9545454382896423
harmony,6,0.004,True,False,0.26910822884790203,1.0,1.0
scanorama,14,0.0155,False,True,0.8857585355177344,0.039603960396039604,0.2724413573741913
scanorama,7,0.016,False,True,0.8779282054235187,0.009900990099009901,0.32785481214523315
scanorama,0,0.0925,False,False,0.5110091459100199,0.009900990099009901,0.3044407367706299
scanorama,9,0.08183333333333333,False,False,0.5074710176638779,0.5544554455445545,0.32354292273521423
scanorama,2,0.082,False,False,0.49764361544046887,0.009900990099009901,0.33739110827445984
scanorama,4,0.0165,False,True,0.4670426227636224,0.009900990099009901,0.36954185366630554
scanorama,12,0.0845,False,False,0.46436560680526834,0.504950495049505,0.3195025622844696
scanorama,3,0.0023333333333333335,True,False,0.2799999897299619,1.0,1.0
scanorama,5,0.0036666666666666666,True,False,0.2699999857744321,1.0,0.9545454382896423
scanorama,6,0.004,True,False,0.26999997937833037,1.0,1.0
