cancer_type,n_cells,n_lamp3,frac_lamp3,global_frac,D_col
HNSC,1883,110,0.0584,0.01,0.0484
CRC,1383,40,0.0289,0.01,0.0189
SSCC,243,22,0.0905,0.01,0.0805
BRCA,1921,14,0.0073,0.01,-0.0027
OV,1175,8,0.0068,0.01,-0.0032
LC,2089,8,0.0038,0.01,-0.0062
NHL,458,8,0.0175,0.01,0.0075
Ovary Normal,222,5,0.0225,0.01,0.0125
STAD,365,4,0.011,0.01,0.0009
Lung Normal,1321,3,0.0023,0.01,-0.0077
PAAD,1076,3,0.0028,0.01,-0.0072
CLL,32,0,0.0,0.01,-0.01
BLCA,83,0,0.0,0.01,-0.01
ALL,110,0,0.0,0.01,-0.01
Brain Normal,5,0,0.0,0.01,-0.01
Breast Normal,425,0,0.0,0.01,-0.01
Bladder Normal,33,0,0.0,0.01,-0.01
Bile Duct Normal,56,0,0.0,0.01,-0.01
Kidney Normal,750,0,0.0,0.01,-0.01
Head and Neck Normal,189,0,0.0,0.01,-0.01
GBM,727,0,0.0,0.01,-0.01
HCC,826,0,0.0,0.01,-0.01
Fallopian Tube Normal,200,0,0.0,0.01,-0.01
Colon Normal,1146,0,0.0,0.01,-0.01
CHOL,481,0,0.0,0.01,-0.01
LGG,40,0,0.0,0.01,-0.01
NET,33,0,0.0,0.01,-0.01
NB,223,0,0.0,0.01,-0.01
MM,163,0,0.0,0.01,-0.01
MEL,129,0,0.0,0.01,-0.01
Neuroendocrine Normal,13,0,0.0,0.01,-0.01
PRAD,473,0,0.0,0.01,-0.01
Liver Normal,287,0,0.0,0.01,-0.01
Lymph Node Normal,218,0,0.0,0.01,-0.01
Prostate Normal,127,0,0.0,0.01,-0.01
Pancreas Normal,75,0,0.0,0.01,-0.01
RCC,776,0,0.0,0.01,-0.01
SARC-EWING,27,0,0.0,0.01,-0.01
SARC-RHAB,27,0,0.0,0.01,-0.01
SARC-OST,359,0,0.0,0.01,-0.01
SARC-SYN,26,0,0.0,0.01,-0.01
Skin Normal,294,0,0.0,0.01,-0.01
Small Intestine Normal,618,0,0.0,0.01,-0.01
Stomach Metaplasia,111,0,0.0,0.01,-0.01
Stomach Normal,210,0,0.0,0.01,-0.01
THCA,413,0,0.0,0.01,-0.01
Thyroid Normal,19,0,0.0,0.01,-0.01
UCEC,145,0,0.0,0.01,-0.01
UVM,407,0,0.0,0.01,-0.01
WILM,60,0,0.0,0.01,-0.01
