dataset,method,n,p_bh,neg_log10_pbh,kappa_median,kappa_q1,kappa_q3
cheng_paad,harmony,2853,1.0,-0.0,2.3351,1.9701,3.6658
cheng5,harmony,20341,0.013,1.8861,2.3526,1.6423,3.1741
cheng6,harmony,49271,0.0041,2.3872,2.0942,1.7173,2.6864
cheng_paad,scanorama,2853,0.005,2.301,8.3213,7.5625,10.113
cheng5,scanorama,20341,0.008,2.0969,9.1096,7.4912,10.8399
cheng6,scanorama,49271,0.0039,2.4089,9.1298,7.5814,10.9853
cheng_paad,scvi,2853,0.003,2.5229,4.6293,4.2356,5.716
cheng5,scvi,20341,0.004,2.3979,5.1185,4.1193,6.3663
cheng6,scvi,49271,0.003,2.5229,5.1252,4.2448,6.9471
zheng_mm,harmony,12274,1.0,-0.0,1.7282,0.8798,2.8512
zheng_mm,scanorama,12274,0.0054,2.2676,6.496,5.1286,8.8995
zheng_mm,scvi,12274,0.0044,2.3565,3.5159,2.8673,5.7557
