abundance,overlap,method,ground_truth_label,mean_p,min_p,n
0.02,0.0,harmony,False,0.5561056105610561,0.10891089108910891,6
0.02,0.0,harmony,True,0.5313531353135313,0.009900990099009901,3
0.02,0.0,scanorama,False,0.37128712871287123,0.039603960396039604,6
0.02,0.0,scanorama,True,0.07920792079207921,0.009900990099009901,3
0.02,0.4,harmony,False,0.5957095709570956,0.24752475247524752,6
0.02,0.4,harmony,True,0.29372937293729373,0.009900990099009901,3
0.02,0.4,scanorama,False,0.3184818481848185,0.019801980198019802,6
0.02,0.4,scanorama,True,0.009900990099009901,0.009900990099009901,3
0.05,0.0,harmony,False,0.45104510451045104,0.10891089108910891,9
0.05,0.0,harmony,True,0.49834983498349833,0.22772277227722773,3
0.05,0.0,scanorama,False,0.5291529152915291,0.06930693069306931,9
0.05,0.0,scanorama,True,0.026402640264026403,0.009900990099009901,3
0.05,0.4,harmony,False,0.45324532453245325,0.039603960396039604,9
0.05,0.4,harmony,True,0.3333333333333333,0.2079207920792079,3
0.05,0.4,scanorama,False,0.6501650165016502,0.009900990099009901,9
0.05,0.4,scanorama,True,0.009900990099009901,0.009900990099009901,3
